parameter,output,spearman_rho,p_value
n_imperv,max_depth_J273-S,-0.4853,0.0
%Imperv,max_depth_J273-S,0.4304,0.0
slope%,max_depth_J273-S,0.1951,0.0
IMD,max_depth_J273-S,-0.1069,0.0168
n_perv,max_depth_J273-S,-0.0775,0.0835
dstore_perv_in,max_depth_J273-S,-0.04,0.3725
dstore_imperv_in,max_depth_J273-S,0.023,0.6073
%Imperv,max_depth_J278-S,0.5751,0.0
SubcatchWidth,max_depth_J278-S,0.4556,0.0
n_perv,max_depth_J278-S,-0.3745,0.0
n_imperv,max_depth_J278-S,-0.2274,0.0
slope%,max_depth_J278-S,0.1897,0.0
dstore_imperv_in,max_depth_J278-S,-0.0334,0.4566
IMD,max_depth_J278-S,-0.031,0.4899
dstore_perv_in,max_depth_J278-S,-0.0064,0.8858
%Imperv,max_depth_J280-S,0.5727,0.0
SubcatchWidth,max_depth_J280-S,0.4575,0.0
n_perv,max_depth_J280-S,-0.3766,0.0
n_imperv,max_depth_J280-S,-0.2286,0.0
slope%,max_depth_J280-S,0.1904,0.0
dstore_imperv_in,max_depth_J280-S,-0.033,0.4616
IMD,max_depth_J280-S,-0.0305,0.4959
dstore_perv_in,max_depth_J280-S,-0.006,0.8936
%Imperv,max_depth_J3-S,0.6018,0.0
SubcatchWidth,max_depth_J3-S,0.4495,0.0
n_perv,max_depth_J3-S,-0.3136,0.0
n_imperv,max_depth_J3-S,-0.2622,0.0
slope%,max_depth_J3-S,0.1862,0.0
dstore_imperv_in,max_depth_J3-S,-0.028,0.5317
dstore_perv_in,max_depth_J3-S,0.0256,0.5679
IMD,max_depth_J3-S,-0.0223,0.6186
%Imperv,max_depth_J328-S,0.5527,0.0
SubcatchWidth,max_depth_J328-S,0.4642,0.0
n_perv,max_depth_J328-S,-0.4077,0.0
n_imperv,max_depth_J328-S,-0.2158,0.0
slope%,max_depth_J328-S,0.2,0.0
dstore_imperv_in,max_depth_J328-S,-0.0306,0.4947
IMD,max_depth_J328-S,-0.0227,0.6127
dstore_perv_in,max_depth_J328-S,0.0195,0.6633
%Imperv,max_depth_J329-S,0.5596,0.0
SubcatchWidth,max_depth_J329-S,0.4649,0.0
n_perv,max_depth_J329-S,-0.3878,0.0
n_imperv,max_depth_J329-S,-0.2296,0.0
